query,recommended artists,all tags
modern classical music,"John Adams, Philip Glass, Arvo Pärt, Steve Reich, John Cage","Synthetic, ULM 24B"
classical music that is uplifting,"Antonio Vivaldi, Wolfgang Amadeus Mozart, Johann Sebastian Bach, Georg Friedrich Händel, Sergei Prokofiev","Synthetic, ULM 24B"
jazz that's hip,"BadBadNotGood, Charles Mingus, Ornette Coleman, Thelonious Monk, Miles Davis","Synthetic, ULM 24B"
electronic that doesn't suck,"Squarepusher, Autechre, Boards of Canada, Aphex Twin, Flying Lotus","Synthetic, ULM 24B"
music for parties,"DJ Snake, Calvin Harris, David Guetta, Avicii, Skrillex","Synthetic, ULM 24B"
opera singing,"Elisabeth Schwarzkopf, Maria Callas, Leontyne Price, Anna Netrebko, Jetta Beckman","Synthetic, ULM 24B"
electronic music that has some substance,"Vangelis, Philip Glass, Klaus Schultze, Tangerine Dream, John Carpenter","Synthetic, ULM 24B"
music for a funeral,"Elliott Smith, Leonard Cohen, Nick Drake, The Antlers","Synthetic, ULM 24B"
music to do homework to,"Fleet Foxes, Ben Folds, Jose Gonzalez, The xx, The Drums","Synthetic, ULM 24B"
music to learn math to,"Boards of Canada, Explosions in the Sky, A Silver Mt. Zion, Mogwai, Godspeed You! Black Emperor","Synthetic, ULM 24B"
music for the beach,"Steel Pulse, Bob Marley, The Original Wailers, Sublime","Synthetic, ULM 24B"
classic rock that I've never heard before,"Electric Light Orchestra, Supertramp, Hall & Oates, The Who, Genesis","Synthetic, ULM 24B"
music for a baby shower,"The Beach Boys, Frank Sinatra, Louis Armstrong, Ella Fitzgerald, Julie London","Synthetic, ULM 24B"
jazz music for a slow dancing,"Sade, John Coltrane, Bill Evans, Pat Metheny, Oscar Peterson","Synthetic, ULM 24B"
songs about love,"The Smiths, The Beatles, The Cure, Bright Eyes, Arcade Fire","Synthetic, ULM 24B"
theatrical songs,"Les Misérables, The Phantom of the Opera, Sweeney Todd: The Demon Barber of Fleet Street, Miss Saigon, Jesus Christ Superstar","Synthetic, ULM 24B"
songs about space,"David Bowie, Kate Bush, Sigur Ròs, Pink Floyd, The Flaming Lips","Synthetic, ULM 24B"
classical music,"Mozart, Ludwig van Beethoven, Franz Schubert, Johann Sebastian Bach, Antonín Dvořák","Synthetic, ULM 24B"
music people who grew up in the 80s will get,"The Talking Heads, Prince, Kate Bush, Tears for Fears, The Cure","Synthetic, ULM 24B"
old black-and-white movies,"The Andrews Sisters, Billie Holiday, Nat King Cole, The Ink Spots, The Boswell Sisters","Synthetic, ULM 24B"
music that sounds like an adventure,"Journey, The Doors, Jimi Hendrix, Jethro Tull, ELO","Synthetic, ULM 24B"
death metal with clean vocals,"Mastodon, Ghost, Killswitch Engage, Opeth, Trivium","Synthetic, ULM 24B"
music for a dark dance party,"Sylvan Esso, The Antlers, Bon Iver, Beach House, Radiohead","Synthetic, ULM 24B"
hard rock,"Led Zeppelin, AC/DC, Metallica, Judas Priest, Van Halen","Synthetic, ULM 24B"
popular music,"Taylor Swift, Drake, Kanye West, Ed Sheeran, Coldplay","Synthetic, ULM 24B"
the classics,"Beethoven, Mozart, Wagner, Chopin, Vivaldi","Synthetic, ULM 24B"
music for reading,"Bon Iver, Gregory Alan Isakov, Iron & Wine, Laura Marling, Noah and the Whale","Synthetic, ULM 24B"
soul music,"Janelle Monáe, Lauryn Hill, Azealia Banks, Jill Scott, Erykah Badu","Synthetic, ULM 24B"
hard-to-pronounce foreign singers,"Låpsley, Stromae, MØ, Stromae, Tove Lo","Synthetic, ULM 24B"
indie rock,"Arcade Fire, Beach House, Bon Iver, The National, The Decemberists","Synthetic, ULM 24B"
music that sounds like Christmas,"Enya, Sarah McLachlan, Mariah Carey, Norah Jones","Synthetic, ULM 24B"
classical music,"Yo-Yo Ma, Vanessa-Mae, Yanni, Hans Zimmer, John Williams","Synthetic, ULM 24B"
folk and bluegrass,"Fleet Foxes, Mumford and Sons, The Avett Brothers, The Civil Wars, Old Crow Medicine Show","Synthetic, ULM 24B"
weird electronic music,"Aphex Twin, Flying Lotus, Grimes, Oneohtrix Point Never","Synthetic, ULM 24B"
angry music,"Pink Guy, NOFX, The Exploited, Rage Against The Machine, Misfits","Synthetic, ULM 24B"
angry music,"The Sex Pistols, Rage Against the Machine, Megadeth, Pantera","Synthetic, ULM 24B"
punk music,"Bad Brains, Minor Threat, Black Flag, Dead Kennedys, Operation Ivy","Synthetic, ULM 24B"
music for road trips,"The Black Keys, Tom Petty and The Heartbreakers, Wilco, Bob Seger, Bob Dylan","Synthetic, ULM 24B"
female vocalists,"Janis Joplin, Lauryn Hill, Regina Spektor, Norah Jones, Amy Winehouse","Synthetic, ULM 24B"
orchestral music,"Handel, Bach, Beethoven, Haydn, Mozart","Synthetic, ULM 24B"
alternative pop,"Gotye, The Postal Service, Feist, M83, The Knife","Synthetic, ULM 24B"
old music that sounds new​,"Radiohead, Nirvana, The Clash, The Pixies, The Velvet Underground","Synthetic, ULM 24B"
music to get ready with,"Outkast, A Tribe Called Quest, Nas, Tupac, Run–DMC","Synthetic, ULM 24B"
opera​,"Franz Liszt, Giacomo Puccini, Giuseppe Verdi, Gioacchino Rossini, Wolfgang Amadeus Mozart","Synthetic, ULM 24B"
jazz,"Louis Armstrong, Ella Fitzgerald, Benny Goodman, Duke Ellington, Coleman Hawkins","Synthetic, ULM 24B"
music for study break,"Lana Del Rey, Frank Ocean, The xx, Radiohead, Boards of Canada","Synthetic, ULM 24B"
acoustic jazz,"Frank Sinatra, Diana Krall, Norah Jones, Chet Baker, Billie Holiday","Synthetic, ULM 24B"
music with lots of percussion,"The Roots, A Tribe Called Quest, The Mars Volta, Primus, Beck","Synthetic, ULM 24B"
electronic dance music,"SebastiAn, Moderat, Caribou, Crystal Castles, Deadmau5","Synthetic, ULM 24B"
weird electronic​,"Jan Jelinek, Oval, Mouse on Mars, Boards of Canada","Synthetic, ULM 24B"
electronic music from the 90s,"Autechre, Björk, Aphex Twin, Goldie, Chemical Brothers","Synthetic, ULM 24B"
